BRAND_ID,TERRITORY_ID,PRIMARY_CATEGORY,DOMAIN_AUTHORITY,TOTAL_PRODUCTS,TOTAL_PRESS_RELEASES,TOTAL_COLLABORATIONS,HAS_FACEBOOK,HAS_TWITTER,HAS_PINTEREST,HAS_INSTAGRAM,IS_AN_AFFILIATE
38158,5,320,16.0,300,4,0,True,False,True,True,False
38212,1,3,26.0,13,2,0,False,False,False,False,False
38226,5,69,31.0,149,10,0,False,False,False,False,False
38358,1,84,20.0,140,4,1,False,False,False,True,True
38380,1,23,55.0,28,0,28,False,False,False,False,False
38408,1,52,14.0,105,1,1,True,False,True,True,True
38431,1,156,20.0,235,21,1,True,False,True,True,False
38457,1,105,9.0,87,0,0,True,False,False,True,True
38469,1,36,9.0,41,0,0,False,False,False,True,False
38471,1,17,24.0,12,0,0,False,False,False,False,True
38473,1,14,23.0,22,0,0,False,False,False,False,False
38494,1,84,23.0,95,5,0,False,False,False,False,False
38514,1,130,49.0,140,2,0,True,True,True,True,False
38515,1,291,49.0,195,0,0,True,True,True,True,False
38517,1,36,31.0,36,0,0,True,True,True,True,False
38521,1,39,13.0,69,0,0,True,True,False,True,False
38526,1,10,27.0,10,0,0,False,False,False,False,False
38558,1,1335,16.0,1395,2,0,True,False,False,True,False
38588,1,691,38.0,1623,35,0,False,False,False,False,False
38600,1,11553,46.0,16422,0,0,True,True,False,True,False
38620,1,430,28.0,818,18,0,True,False,True,True,False
38648,1,6,19.0,9,1,0,True,True,True,True,True
38650,1,44,12.0,113,2,1,True,True,False,True,True
38688,1,891,58.0,1048,43,0,False,False,False,False,True
38698,1,685,12.0,604,6,0,True,False,True,True,False
38699,1,95,13.0,98,12,5,False,False,False,False,False
38700,1,534,15.0,592,38,0,True,False,True,True,True
38708,1,921,19.0,770,22,2,True,True,True,True,True
38755,1,21,18.0,30,1,0,False,False,False,False,False
38759,1,22,18.0,26,0,0,False,False,False,False,False
38763,1,8,15.0,11,0,0,False,False,False,False,False
38773,1,125,8.0,123,0,0,False,False,False,False,False
38795,1,562,33.0,1003,10,0,True,False,False,True,False
38798,1,192,31.0,194,1,0,False,False,False,False,True
38810,1,165,31.0,186,1,0,True,True,True,True,True
38839,1,77,61.0,127,0,0,False,False,False,False,False
38913,1,1035,22.0,1047,26,4,True,True,True,True,False
38930,1,293,11.0,216,2,1,False,False,False,False,True
38953,1,90,36.0,90,0,0,False,False,False,False,False
38974,1,35,49.0,34,0,0,False,False,False,False,False
38975,1,117,8.0,122,5,0,True,False,True,True,False
38978,2,87,16.0,196,0,0,False,False,False,False,False
39009,1,59,14.0,60,1,0,False,False,False,False,True
39013,1,149,30.0,178,11,0,False,False,False,False,False
39014,1,77,47.0,56,13,0,False,False,False,False,True
39077,1,595,23.0,300,14,1,False,False,False,False,False
39092,1,14,13.0,11,0,0,False,False,False,False,False
39108,1,170,21.0,93,0,0,False,False,False,False,False
39109,1,142,19.0,87,0,0,False,False,False,False,False
39140,1,258,13.0,466,4,0,True,False,True,True,True
39226,1,7,9.0,5895,0,0,False,False,False,False,False
39228,5,1,26.0,1,0,0,False,False,False,False,False
39229,5,3,44.0,3,0,0,False,False,False,False,False
39266,3,9,26.0,10,2,0,True,False,False,True,False
39269,5,4,24.0,6,1,0,False,False,False,False,False
39287,1,1098,53.0,998,5,1,True,False,False,True,False
39288,1,217,37.0,224,15,2,True,True,False,True,False
39319,1,31,44.0,53,2,1,False,False,False,True,False
39329,1,59,36.0,129,0,0,False,False,False,False,False
39357,1,6,8.0,6,1,1,True,True,False,True,True
39372,1,84,9.0,116,0,0,False,False,False,False,False
39378,1,490,11.0,281,6,0,True,False,True,True,True
39380,1,428,22.0,453,17,3,True,True,True,True,True
39419,1,25,12.0,26,0,0,False,False,False,False,False
39448,1,10,13.0,10,1,0,False,False,False,False,False
39466,1,104,13.0,225,2,0,True,False,True,True,False
39474,1,25,8.0,26,0,0,True,False,True,True,False
39491,1,40,17.0,33,1,0,False,False,False,False,False
39521,1,86,41.0,69,1,0,False,False,False,False,False
39533,1,305,13.0,158,0,0,False,False,False,False,False
39551,1,177,51.0,169,0,1,True,False,False,True,False
39562,1,96,27.0,168,1,1,True,True,True,True,True
39597,1,100,25.0,100,0,0,False,False,False,False,False
39600,1,278,32.0,892,10,0,False,False,True,True,True
39606,1,203,12.0,135,9,0,False,False,False,False,False
39620,1,11,30.0,11,0,0,False,False,False,False,False
39710,1,158,33.0,381,7,0,False,False,False,True,False
39757,1,3,61.0,135,0,0,False,False,False,True,False
39758,4,169,45.0,475,0,0,False,False,False,False,False
39838,1,292,33.0,435,3,0,True,False,False,True,False
39851,1,99,7.0,54,2,1,False,False,False,True,False
39866,1,310,35.0,410,12,4,True,True,False,True,False
39895,1,134,11.0,67,1,1,False,False,False,False,True
39929,1,140,9.0,281,0,0,False,False,False,False,False
39958,1,40,47.0,78,0,0,False,False,False,False,False
39968,1,840,38.0,936,39,1,False,False,False,True,False
39986,1,115,11.0,305,1,2,True,False,False,True,True
39992,1,29,9.0,29,1,0,False,False,False,False,True
40009,1,51,20.0,48,1,0,False,False,False,False,True
40012,1,17,12.0,17,1,0,False,False,False,False,False
40069,1,62,10.0,123,0,0,True,False,False,True,False
40089,1,345,17.0,549,17,2,False,False,False,False,False
40093,1,157,11.0,157,2,0,False,False,False,False,False
40095,1,998,37.0,698,19,6,True,True,False,True,False
40116,1,7,10.0,24,0,0,True,False,False,True,False
40122,1,221,13.0,448,2,0,False,False,False,False,False
40150,1,225,20.0,237,1,0,False,False,False,False,False
40185,1,8,3.0,10,0,0,True,False,False,True,False
40210,1,135,16.0,114,4,0,False,False,False,False,True
